timestamp,pickup,dropoff,stop,vehicle,time,date,name
2021-06-03 13:08:10,1,0,Bus,Motto,13:05:00,2021-06-03,JR
2021-06-03 13:31:41,0,1,Bus,Motto,13:31:43,2021-06-03,JR
2021-06-04 11:06:02,1,0,School,Motto,11:03:00,2021-06-04,CM
2021-06-04 11:07:48,0,1,Bus,Motto,11:07:00,2021-06-04,CM
2021-06-04 12:43:54,1,0,Bus,Motto,12:40:00,2021-06-04,MN
2021-06-04 12:58:31,0,1,School,Motto,12:58:00,2021-06-04,MN
2021-06-04 17:07:15,3,0,Bus,Mette,17:07:19,2021-06-04,JR
2021-06-04 17:28:40,0,3,Bus,Mette,17:28:35,2021-06-04,JR
2021-06-07 15:20:00,1,0,Admin,Myao,15:20:31,2021-06-07,JR
2021-06-07 15:26:00,0,1,Lime,Myao,15:26:25,2021-06-07,JR
2021-06-07 15:34:00,1,0,Admin,Moon,15:34:21,2021-06-07,JR
2021-06-07 15:35:00,0,1,Dentist,Moon,15:35:24,2021-06-07,JR
2021-06-08 08:00:50,1,0,Lime,Moon,07:57:00,2021-06-08,JW
2021-06-08 08:24:33,0,1,Hospital,Moon,08:22:00,2021-06-08,MS
2021-06-08 11:17:22,2,0,Hospital,Moon,11:15:00,2021-06-08,VG
2021-06-08 11:31:48,0,2,Bus,Moon,11:31:00,2021-06-08,VG
2021-06-08 13:17:45,1,0,University,Mette,13:09:00,2021-06-08,JR
2021-06-08 13:19:32,0,1,Bus,Mette,13:15:00,2021-06-08,JR
2021-06-08 14:30:08,2,0,Lime,Mette,14:28:00,2021-06-08,JR
2021-06-08 14:46:15,0,2,Bus,Mette,14:43:00,2021-06-08,JR
2021-06-08 15:09:15,1,0,Hospital,Mette,15:08:00,2021-06-08,VG
2021-06-08 15:28:34,0,1,Lime,Mette,15:28:00,2021-06-08,VG
2021-06-08 17:23:38,1,0,Doctor,Moon,17:23:00,2021-06-08,JR
2021-06-08 17:37:33,0,1,Admin,Moon,17:57:00,2021-06-08,JR
2021-06-08 18:08:59,1,0,University,Myao,18:05:00,2021-06-08,MA
2021-06-08 18:23:32,1,0,Bus,Mette,18:16:00,2021-06-08,MA
2021-06-08 18:25:38,0,1,Admin,Mette,18:21:00,2021-06-08,MA
2021-06-08 18:27:36,0,1,University,Myao,18:26:00,2021-06-08,DN
2021-06-09 07:58:31,1,0,Dentist,Moon,07:50:00,2021-06-09,ES
2021-06-09 07:59:26,1,0,Admin,Myao,07:55:00,2021-06-09,ES
2021-06-09 08:13:51,0,1,Dentist,Moon,08:12:00,2021-06-09,ES
2021-06-09 08:17:56,0,1,Parking,Myao,08:16:00,2021-06-09,ES
2021-06-09 11:08:02,1,0,Lime,Myao,11:07:00,2021-06-09,VG
2021-06-09 11:13:05,0,1,University,Myao,11:12:00,2021-06-09,VG
2021-06-09 15:09:50,1,0,Dentist,Mette,15:07:00,2021-06-09,JW
2021-06-09 15:11:56,0,1,Lime,Mette,15:11:00,2021-06-09,JW
2021-06-10 08:03:51,1,0,Lime,Myao,08:00:00,2021-06-10,MS
2021-06-10 08:08:18,0,1,Hospital,Myao,08:05:00,2021-06-10,MS
2021-06-10 15:17:30,1,0,Admin,Mette,15:15:00,2021-06-10,JR
2021-06-10 15:21:45,0,1,Lime,Mette,15:21:00,2021-06-10,JR
2021-06-10 15:24:04,1,0,School,Mette,15:21:00,2021-06-10,LA
2021-06-10 15:47:33,0,1,Admin,Mette,15:34:00,2021-06-10,LA
2021-06-10 16:57:21,0,1,Doctor,Mette,16:50:00,2021-06-10,DL
2021-06-10 17:17:14,1,0,Dentist,Mette,16:40:00,2021-06-10,JR
2021-06-11 16:31:44,2,0,Doctor,Mette,15:46:00,2021-06-11,LA
2021-06-11 16:32:26,0,2,Doctor,Mette,16:08:00,2021-06-11,LA
2021-06-11 17:55:21,1,0,Parking,Mette,17:54:00,2021-06-11,JR
2021-06-11 17:58:57,0,1,Doctor,Mette,17:58:00,2021-06-11,JR
